id,title,link,sources,date,coord
EONET_8164,Wildfire in Brazil 1019880,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8164,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019880,6/21/2024,"[-57.2659958049615, -19.418036795163513]"
EONET_8165,Wildfire in Paraguay 1019879,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8165,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019879,6/21/2024,"[-57.92698090925936, -20.96249847946566]"
EONET_8166,Wildfire in Russian Federation 1019881,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8166,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019881,6/20/2024,"[158.27788885548992, 65.08566356533524]"
EONET_8167,Wildfire in Angola 1019882,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8167,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019882,6/20/2024,"[20.4045728927449, -8.63949059889511]"
EONET_8157,Wildfire in Angola 1019872,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8157,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019872,6/19/2024,"[20.119758949608926, -8.191226206335127]"
EONET_8168,Wildfire in Russian Federation 1019883,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8168,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019883,6/19/2024,"[158.9132200346393, 67.64510201272032]"
EONET_8169,Wildfire in Angola 1019884,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8169,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019884,6/19/2024,"[21.549042126505405, -8.376287079385097]"
EONET_8170,Wildfire in Russian Federation 1019885,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8170,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019885,6/19/2024,"[119.11759005497997, 55.062059425559966]"
EONET_8171,Wildfire in Russian Federation 1019887,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8171,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019887,6/19/2024,"[115.46825194024164, 56.490232172007076]"
EONET_8172,Wildfire in Australia 1019886,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8172,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019886,6/19/2024,"[132.94303099969986, -11.878579980773123]"
EONET_8147,Wildfire in Russian Federation 1019862,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8147,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019862,6/18/2024,"[148.24692708678575, 66.50562396978965]"
EONET_8173,Wildfire in Australia 1019888,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8173,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019888,6/18/2024,"[132.42429929090477, -13.26977565296811]"
EONET_8174,Wildfire in Russian Federation 1019889,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8174,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019889,6/18/2024,"[158.72781482284947, 68.07691921719451]"
EONET_8175,Wildfire in Russian Federation 1019890,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8175,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019890,6/18/2024,"[161.44811771571563, 66.80037633935095]"
EONET_8148,Wildfire in Australia 1019863,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8148,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019863,6/17/2024,"[129.760891149914, -15.621904848555948]"
EONET_8149,Wildfire in United States 1019864,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8149,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019864,6/17/2024,"[-105.64559906199449, 33.27657379697286]"
EONET_8150,Wildfire in Australia 1019865,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8150,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019865,6/17/2024,"[133.5260614346419, -13.043628596681506]"
EONET_8151,Wildfire in United States 1019866,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8151,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019866,6/17/2024,"[-122.42967737380634, 39.26009852148929]"
EONET_8152,Wildfire in Brazil 1019867,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8152,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019867,6/17/2024,"[-57.17370557813702, -19.289342140903017]"
EONET_8158,Wildfire in The Democratic Republic of Congo 1019873,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8158,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019873,6/17/2024,"[25.93837186934699, -5.483407883842133]"
EONET_8159,Wildfire in Australia 1019874,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8159,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019874,6/17/2024,"[133.48345853995323, -12.531122608190255]"
EONET_8176,Wildfire in Australia 1019891,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8176,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019891,6/17/2024,"[132.12589324891877, -12.99248176334612]"
EONET_8177,Wildfire in The Democratic Republic of Congo 1019892,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8177,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019892,6/17/2024,"[24.564823297642395, -3.3398128457860636]"
EONET_8178,Wildfire in The Democratic Republic of Congo 1019893,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8178,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019893,6/17/2024,"[24.44278198149758, -3.5878300765150968]"
