date,Impact energy (kt),Velocity (kps),altitude (km),coord
3/28/2022,0.98,19.6,29,"(('7.7', 'S'), ('74.3', 'E'))"
3/24/2022,0.24,18.2,56.7,"(('1.9', 'N'), ('20.6', 'W'))"
3/11/2022,4,17.2,33.3,"(('70.0', 'N'), ('9.1', 'W'))"
3/6/2022,0.073,0,0,"(('4.1', 'S'), ('99.5', 'W'))"
3/3/2022,0.076,0,72,"(('50.4', 'S'), ('45.9', 'E'))"
2/17/2022,0.095,0,41,"(('33.5', 'N'), ('38.9', 'W'))"
2/17/2022,0.21,21.5,32.4,"(('5.4', 'N'), ('56.4', 'E'))"
2/7/2022,7,13.1,26.5,"(('28.7', 'S'), ('11.4', 'E'))"
2/3/2022,0.44,22.8,36,"(('13.3', 'S'), ('142.2', 'E'))"
1/30/2022,0.18,20,36.6,"(('50.0', 'N'), ('38.0', 'W'))"
1/28/2022,0.9,0,37,"(('4.5', 'S'), ('73.9', 'W'))"
1/11/2022,2.9,22.8,40.8,"(('58.4', 'S'), ('160.2', 'W'))"
1/1/2022,0.42,0,35.5,"(('66.1', 'N'), ('152.6', 'W'))"
12/29/2021,0.073,22,44,"(('69.7', 'S'), ('115.0', 'E'))"
12/23/2021,0.076,0,37,"(('4.9', 'S'), ('29.6', 'W'))"
12/20/2021,0.11,18.2,56,"(('62.7', 'N'), ('60.3', 'E'))"
12/10/2021,0.16,0,27.5,"(('47.5', 'S'), ('172.6', 'E'))"
11/28/2021,0.13,19.7,38.4,"(('32.6', 'N'), ('113.5', 'E'))"
11/17/2021,0.086,23,35,"(('6.8', 'S'), ('119.1', 'E'))"
11/8/2021,0.11,0,36,"(('33.8', 'S'), ('7.7', 'W'))"
10/28/2021,0.1,0,35.2,"(('4.1', 'S'), ('138.7', 'W'))"
10/21/2021,0.13,15.9,30,"(('51.5', 'N'), ('51.4', 'E'))"
10/20/2021,0.19,0,28,"(('13.8', 'N'), ('140.4', 'W'))"
10/20/2021,0.073,27.5,31.4,"(('59.0', 'N'), ('154.3', 'E'))"
9/29/2021,0.4,21.2,28,"(('53.9', 'N'), ('148.0', 'W'))"
9/6/2021,0.11,13.6,26,"(('2.1', 'S'), ('111.8', 'W'))"
7/30/2021,0.42,0,63,"(('7.8', 'S'), ('90.1', 'E'))"
7/29/2021,0.13,14.7,26.4,"(('42.4', 'N'), ('98.4', 'E'))"
7/7/2021,0.11,0,0,"((None, None), (None, None))"
7/5/2021,1.8,15.7,43.4,"(('44.3', 'N'), ('164.2', 'W'))"
6/9/2021,0.082,0,0,"(('17.9', 'S'), ('55.3', 'W'))"
5/16/2021,0.13,0,37,"(('52.1', 'S'), ('171.2', 'W'))"
5/6/2021,0.076,26.6,31,"(('34.7', 'S'), ('141.0', 'E'))"
5/2/2021,0.089,0,0,"(('12.3', 'N'), ('43.4', 'W'))"
4/13/2021,0.076,14.1,44.4,"(('26.8', 'N'), ('79.1', 'W'))"
4/2/2021,0.4,0,40,"(('71.2', 'N'), ('106.7', 'E'))"
3/6/2021,0.41,0,31.1,"(('48.6', 'S'), ('90.4', 'E'))"
3/5/2021,0.13,0,32.5,"(('81.1', 'S'), ('141.1', 'E'))"
2/28/2021,0.098,0,0,"(('9.2', 'N'), ('64.1', 'W'))"
2/9/2021,0.1,0,31,"(('75.8', 'N'), ('92.8', 'W'))"
2/2/2021,0.11,0,20,"(('48.7', 'N'), ('80.1', 'E'))"
1/31/2021,0.72,0,39.4,"(('5.3', 'N'), ('115.2', 'E'))"
1/29/2021,0.24,0,30,"(('38.8', 'N'), ('51.3', 'W'))"
1/25/2021,0.23,0,19.1,"(('38.5', 'N'), ('47.6', 'W'))"
1/24/2021,0.2,0,37.5,"(('45.0', 'S'), ('95.5', 'E'))"
12/29/2020,0.16,0,33,"(('14.9', 'N'), ('158.2', 'W'))"
12/28/2020,0.18,0,28.3,"(('36.8', 'N'), ('54.7', 'W'))"
12/22/2020,9.5,13.6,35.5,"(('31.9', 'N'), ('96.2', 'E'))"
11/28/2020,0.092,19.6,28.1,"(('33.3', 'N'), ('135.1', 'E'))"
11/25/2020,0.076,0,0,"(('30.5', 'S'), ('81.0', 'W'))"
11/7/2020,0.33,16.7,22.3,"(('59.8', 'N'), ('16.8', 'E'))"
10/26/2020,0.34,17.6,28.5,"(('5.9', 'S'), ('160.4', 'E'))"
10/23/2020,0.25,0,48,"(('30.0', 'N'), ('71.9', 'W'))"
10/22/2020,0.15,17.6,40,"(('22.0', 'N'), ('133.5', 'W'))"
10/21/2020,0.079,0,0,"(('12.9', 'N'), ('150.2', 'W'))"
10/21/2020,0.095,0,39,"(('29.7', 'S'), ('93.9', 'W'))"
10/19/2020,0.076,0,40.7,"(('48.6', 'N'), ('93.9', 'E'))"
10/18/2020,0.12,16.4,36,"(('11.4', 'S'), ('135.8', 'W'))"
9/18/2020,0.14,11.7,46,"(('2.4', 'N'), ('169.7', 'W'))"
8/30/2020,0.2,23.4,27.8,"(('26.0', 'N'), ('133.5', 'E'))"
8/2/2020,0.23,11.1,38,"(('35.1', 'S'), ('34.2', 'W'))"
7/22/2020,0.079,0,36,"(('20.0', 'S'), ('103.8', 'W'))"
7/20/2020,0.16,14.1,31.6,"(('51.8', 'S'), ('11.2', 'W'))"
7/12/2020,0.23,18.3,29.4,"(('48.7', 'S'), ('74.0', 'E'))"
5/27/2020,0.18,14.9,29.3,"(('40.8', 'N'), ('41.7', 'E'))"
5/18/2020,0.46,0,25,"(('38.7', 'S'), ('77.2', 'E'))"
5/12/2020,0.26,0,0,"(('15.9', 'N'), ('174.2', 'E'))"
5/9/2020,0.14,0,52.5,"(('7.2', 'N'), ('44.2', 'W'))"
5/9/2020,0.14,14.5,31.2,"(('44.8', 'N'), ('131.0', 'W'))"
4/28/2020,0.076,0,0,"(('20.1', 'N'), ('109.4', 'W'))"
4/18/2020,0.095,0,0,"(('12.5', 'N'), ('49.8', 'W'))"
4/14/2020,0.073,0,0,"(('65.6', 'S'), ('45.6', 'W'))"
3/26/2020,0.37,20.7,26.5,"(('38.3', 'S'), ('23.5', 'E'))"
3/23/2020,0.39,0,25,"(('24.4', 'S'), ('67.9', 'W'))"
3/22/2020,0.089,0,0,"((None, None), (None, None))"
3/4/2020,1,19.8,24.3,"(('53.3', 'S'), ('90.8', 'E'))"
2/28/2020,0.34,21.5,34.5,"(('45.7', 'N'), ('15.1', 'E'))"
2/24/2020,0.073,0,0,"(('3.6', 'N'), ('96.0', 'W'))"
2/10/2020,0.095,31.7,41.7,"(('28.2', 'N'), ('76.7', 'E'))"
1/27/2020,0.15,19.8,32.5,"(('30.4', 'N'), ('1.5', 'E'))"
